shift_id,timestamp,weather_condition,visibility_meters,temperature_celsius,wind_speed_kmph,worker_fatigue_hours,overtime_workers_count,equipment_fault_count,communication_failure_count,active_staff_count,aircraft_on_ramp_count,day_traffic_profile,safety_risk_score,risk_category
JED-SHIFT-03699,2028-07-15T16:00:00Z,CLEAR,9698,29.6,12.0,3.6,2,0,0,98,5,WEEKEND_RUSH,0.38,LOW_RISK
JED-SHIFT-06040,2030-09-04T00:00:00Z,CLEAR,9039,30.8,13.5,4.8,3,1,1,99,10,WEEKDAY_CALM,0.39,LOW_RISK
JED-SHIFT-04096,2028-11-25T00:00:00Z,CLEAR,9095,26.0,0.0,0.0,3,1,1,75,10,WEEKEND_RUSH,0.35,LOW_RISK
JED-SHIFT-39575,2061-04-12T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,204,12,WEEKDAY_CALM,0.9,HIGH_RISK
JED-SHIFT-14776,2038-08-25T00:00:00Z,CLEAR,9775,26.0,0.0,0.0,3,1,1,75,10,WEEKDAY_CALM,0.35,LOW_RISK
JED-SHIFT-39975,2061-08-23T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,204,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-14519,2038-05-31T08:00:00Z,CLEAR,9518,29.6,19.5,3.6,2,0,0,118,9,WEEKDAY_CALM,0.38,LOW_RISK
JED-SHIFT-00315,2025-06-13T16:00:00Z,CLEAR,9314,24.8,21.0,4.8,2,0,0,74,5,WEEKEND_RUSH,0.34,LOW_RISK
JED-SHIFT-05788,2030-06-12T00:00:00Z,CLEAR,9787,28.4,18.0,2.4,3,1,1,87,6,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-10860,2035-01-27T16:00:00Z,CLEAR,9859,30.8,21.0,4.8,3,1,1,119,6,WEEKEND_RUSH,0.39,LOW_RISK
JED-SHIFT-20810,2044-02-26T08:00:00Z,CLEAR,3409,39.0,19.0,5.0,9,3,2,109,25,WEEKEND_RUSH,0.69,MODERATE_RISK
JED-SHIFT-22988,2046-02-21T08:00:00Z,CLEAR,5587,37.0,22.0,7.0,7,3,2,127,18,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-27032,2049-10-31T08:00:00Z,CLEAR,3631,31.0,16.0,7.0,6,3,2,171,16,WEEKDAY_CALM,0.61,MODERATE_RISK
JED-SHIFT-14999,2038-11-07T08:00:00Z,CLEAR,9998,29.6,19.5,3.6,2,0,0,118,9,WEEKDAY_CALM,0.38,LOW_RISK
JED-SHIFT-38589,2060-05-18T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,218,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-33053,2055-04-30T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,182,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-27997,2050-09-18T00:00:00Z,DUST_HAZE,4596,36.0,21.0,4.0,6,2,1,176,15,WEEKDAY_CALM,0.66,MODERATE_RISK
JED-SHIFT-28905,2051-07-17T16:00:00Z,CLEAR,5504,34.0,29.0,4.0,9,4,3,124,20,WEEKDAY_CALM,0.64,MODERATE_RISK
JED-SHIFT-28178,2050-11-17T08:00:00Z,CLEAR,4777,37.0,22.0,5.0,7,3,2,117,14,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-32863,2055-02-26T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,192,20,WEEKEND_RUSH,0.88,HIGH_RISK
JED-SHIFT-35303,2057-05-19T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,182,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-31371,2053-10-16T16:00:00Z,CLEAR,4970,30.0,20.0,6.0,5,4,3,110,15,WEEKDAY_CALM,0.6,MODERATE_RISK
JED-SHIFT-22668,2045-11-06T16:00:00Z,CLEAR,5267,37.0,17.0,7.0,7,4,3,127,20,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-24534,2047-07-21T16:00:00Z,CLEAR,4133,33.0,23.0,5.0,8,4,3,153,17,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-01567,2026-08-05T00:00:00Z,CLEAR,9566,27.2,9.0,1.2,2,0,0,66,9,WEEKDAY_CALM,0.26,LOW_RISK
JED-SHIFT-12297,2036-05-20T16:00:00Z,CLEAR,9296,27.2,16.5,1.2,0,0,0,116,3,WEEKDAY_CALM,0.36,LOW_RISK
JED-SHIFT-34135,2056-04-25T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,214,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-16811,2040-07-03T08:00:00Z,CLEAR,9810,20.0,15.0,0.0,2,0,0,70,5,WEEKDAY_CALM,0.3,LOW_RISK
JED-SHIFT-14471,2038-05-15T08:00:00Z,CLEAR,9470,20.0,15.0,0.0,2,0,0,70,9,WEEKEND_RUSH,0.3,LOW_RISK
JED-SHIFT-27085,2049-11-18T00:00:00Z,DUST_HAZE,3684,34.0,24.0,4.0,9,2,1,144,20,WEEKDAY_CALM,0.64,MODERATE_RISK
JED-SHIFT-21048,2044-05-15T16:00:00Z,CLEAR,3647,37.0,17.0,7.0,7,4,3,107,17,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-36980,2058-11-29T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,209,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-32735,2055-01-14T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,214,12,WEEKDAY_CALM,0.9,HIGH_RISK
JED-SHIFT-32799,2055-02-04T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,228,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-22899,2046-01-22T16:00:00Z,CLEAR,5498,38.0,23.0,6.0,8,4,3,118,20,WEEKDAY_CALM,0.68,MODERATE_RISK
JED-SHIFT-04860,2029-08-06T16:00:00Z,CLEAR,9859,30.8,21.0,4.8,3,1,1,119,6,WEEKDAY_CALM,0.39,LOW_RISK
JED-SHIFT-08649,2033-01-20T16:00:00Z,CLEAR,9648,29.6,12.0,3.6,0,0,0,68,3,WEEKDAY_CALM,0.28,LOW_RISK
JED-SHIFT-38407,2060-03-19T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,186,20,WEEKEND_RUSH,0.88,HIGH_RISK
JED-SHIFT-38976,2060-09-24T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,205,19,WEEKEND_RUSH,0.86,HIGH_RISK
JED-SHIFT-03720,2028-07-22T16:00:00Z,CLEAR,9719,30.8,21.0,4.8,3,1,1,119,10,WEEKEND_RUSH,0.39,LOW_RISK
JED-SHIFT-15281,2039-02-09T08:00:00Z,CLEAR,9280,20.0,15.0,0.0,0,0,0,100,3,WEEKDAY_CALM,0.2,LOW_RISK
JED-SHIFT-13126,2037-02-21T00:00:00Z,CLEAR,9125,26.0,0.0,0.0,1,1,1,105,8,WEEKEND_RUSH,0.25,LOW_RISK
JED-SHIFT-24169,2047-03-22T00:00:00Z,DUST_HAZE,3768,38.0,18.0,4.0,8,2,1,108,24,WEEKEND_RUSH,0.68,MODERATE_RISK
JED-SHIFT-31579,2053-12-25T00:00:00Z,DUST_HAZE,5178,38.0,18.0,6.0,8,2,1,158,20,WEEKDAY_CALM,0.68,MODERATE_RISK
JED-SHIFT-15147,2038-12-26T16:00:00Z,CLEAR,9146,27.2,16.5,1.2,2,0,0,86,5,WEEKDAY_CALM,0.26,LOW_RISK
JED-SHIFT-31544,2053-12-13T08:00:00Z,CLEAR,5143,33.0,28.0,7.0,8,3,2,123,24,WEEKEND_RUSH,0.63,MODERATE_RISK
JED-SHIFT-25650,2048-07-27T16:00:00Z,CLEAR,5249,39.0,29.0,5.0,9,4,3,149,20,WEEKDAY_CALM,0.69,MODERATE_RISK
JED-SHIFT-37864,2059-09-20T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,193,20,WEEKEND_RUSH,0.88,HIGH_RISK
JED-SHIFT-29170,2051-10-14T00:00:00Z,DUST_HAZE,5769,39.0,24.0,5.0,9,2,1,149,25,WEEKEND_RUSH,0.69,MODERATE_RISK
JED-SHIFT-14076,2038-01-03T16:00:00Z,CLEAR,9075,26.0,7.5,0.0,3,1,1,95,6,WEEKDAY_CALM,0.35,LOW_RISK
JED-SHIFT-20452,2043-10-30T00:00:00Z,DUST_HAZE,3051,31.0,21.0,7.0,6,2,1,151,22,WEEKEND_RUSH,0.61,MODERATE_RISK
JED-SHIFT-09537,2033-11-12T16:00:00Z,CLEAR,9536,27.2,16.5,1.2,0,0,0,116,3,WEEKEND_RUSH,0.36,LOW_RISK
JED-SHIFT-10643,2034-11-16T08:00:00Z,CLEAR,9642,22.4,10.5,2.4,2,0,0,82,5,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-30746,2053-03-22T08:00:00Z,CLEAR,4345,35.0,25.0,5.0,5,3,2,125,21,WEEKEND_RUSH,0.65,MODERATE_RISK
JED-SHIFT-04751,2029-07-01T08:00:00Z,CLEAR,9750,20.0,15.0,0.0,2,0,0,70,9,WEEKDAY_CALM,0.3,LOW_RISK
JED-SHIFT-36514,2058-06-27T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,193,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-24788,2047-10-14T08:00:00Z,CLEAR,4387,37.0,22.0,7.0,7,3,2,167,19,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-07307,2031-10-31T08:00:00Z,CLEAR,9306,27.2,1.5,1.2,2,0,0,106,5,WEEKEND_RUSH,0.26,LOW_RISK
JED-SHIFT-13144,2037-02-27T00:00:00Z,CLEAR,9143,23.6,4.5,3.6,3,1,1,63,10,WEEKEND_RUSH,0.23,LOW_RISK
JED-SHIFT-27416,2050-03-08T08:00:00Z,CLEAR,4015,35.0,25.0,7.0,5,3,2,155,15,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-25485,2048-06-02T16:00:00Z,CLEAR,5084,34.0,29.0,4.0,9,4,3,144,16,WEEKDAY_CALM,0.64,MODERATE_RISK
JED-SHIFT-01485,2026-07-08T16:00:00Z,CLEAR,9484,24.8,21.0,4.8,0,0,0,104,7,WEEKDAY_CALM,0.24,LOW_RISK
JED-SHIFT-35901,2057-12-04T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,180,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-13254,2037-04-04T16:00:00Z,CLEAR,9253,23.6,12.0,3.6,1,1,1,113,8,WEEKEND_RUSH,0.33,LOW_RISK
JED-SHIFT-08892,2033-04-11T16:00:00Z,CLEAR,9891,21.2,16.5,1.2,3,1,1,71,6,WEEKDAY_CALM,0.31,LOW_RISK
JED-SHIFT-23164,2046-04-21T00:00:00Z,DUST_HAZE,5763,33.0,18.0,7.0,8,2,1,143,24,WEEKEND_RUSH,0.63,MODERATE_RISK
JED-SHIFT-08896,2033-04-13T00:00:00Z,CLEAR,9895,26.0,0.0,0.0,3,1,1,75,10,WEEKDAY_CALM,0.35,LOW_RISK
JED-SHIFT-26783,2049-08-09T08:00:00Z,CLEAR,3382,32.0,22.0,6.0,7,3,2,162,19,WEEKDAY_CALM,0.62,MODERATE_RISK
JED-SHIFT-34570,2056-09-17T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,199,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-00817,2025-11-28T00:00:00Z,CLEAR,9816,27.2,9.0,1.2,0,0,0,96,3,WEEKEND_RUSH,0.36,LOW_RISK
JED-SHIFT-06402,2031-01-02T16:00:00Z,CLEAR,9401,21.2,16.5,1.2,1,1,1,101,4,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-01465,2026-07-02T00:00:00Z,CLEAR,9464,24.8,13.5,4.8,0,0,0,84,3,WEEKDAY_CALM,0.24,LOW_RISK
JED-SHIFT-27810,2050-07-17T16:00:00Z,CLEAR,4409,39.0,29.0,5.0,9,4,3,149,17,WEEKDAY_CALM,0.69,MODERATE_RISK
JED-SHIFT-37678,2059-07-20T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,207,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-06276,2030-11-21T16:00:00Z,CLEAR,9275,26.0,7.5,0.0,3,1,1,95,6,WEEKDAY_CALM,0.35,LOW_RISK
JED-SHIFT-28738,2051-05-23T00:00:00Z,DUST_HAZE,5337,37.0,27.0,5.0,7,2,1,117,14,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-02508,2027-06-14T16:00:00Z,CLEAR,9507,28.4,3.0,2.4,3,1,1,107,6,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-21747,2045-01-03T16:00:00Z,CLEAR,4346,36.0,26.0,6.0,6,4,3,166,16,WEEKDAY_CALM,0.66,MODERATE_RISK
JED-SHIFT-34166,2056-05-05T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,195,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-11898,2036-01-08T16:00:00Z,CLEAR,9897,28.4,3.0,2.4,1,1,1,77,4,WEEKDAY_CALM,0.37,LOW_RISK
JED-SHIFT-04179,2028-12-22T16:00:00Z,CLEAR,9178,29.6,12.0,3.6,2,0,0,98,5,WEEKEND_RUSH,0.38,LOW_RISK
JED-SHIFT-28723,2051-05-18T00:00:00Z,DUST_HAZE,5322,32.0,27.0,6.0,7,2,1,102,20,WEEKDAY_CALM,0.62,MODERATE_RISK
JED-SHIFT-21803,2045-01-22T08:00:00Z,CLEAR,4402,32.0,22.0,6.0,7,3,2,142,16,WEEKDAY_CALM,0.62,MODERATE_RISK
JED-SHIFT-23588,2046-09-09T08:00:00Z,CLEAR,3187,37.0,22.0,7.0,7,3,2,167,16,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-00626,2025-09-25T08:00:00Z,CLEAR,9625,26.0,15.0,0.0,1,1,1,85,4,WEEKDAY_CALM,0.25,LOW_RISK
JED-SHIFT-19904,2043-04-30T08:00:00Z,CLEAR,9903,23.6,19.5,3.6,3,1,1,103,10,WEEKDAY_CALM,0.23,LOW_RISK
JED-SHIFT-23139,2046-04-12T16:00:00Z,CLEAR,5738,38.0,23.0,6.0,8,4,3,118,15,WEEKDAY_CALM,0.68,MODERATE_RISK
JED-SHIFT-26908,2049-09-20T00:00:00Z,DUST_HAZE,3507,37.0,27.0,7.0,7,2,1,127,18,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-14858,2038-09-21T08:00:00Z,CLEAR,9857,28.4,10.5,2.4,1,1,1,97,4,WEEKDAY_CALM,0.37,LOW_RISK
JED-SHIFT-31836,2054-03-20T16:00:00Z,CLEAR,5435,35.0,20.0,7.0,5,4,3,175,21,WEEKEND_RUSH,0.65,MODERATE_RISK
JED-SHIFT-16368,2040-02-06T16:00:00Z,CLEAR,9367,28.4,3.0,2.4,3,1,1,107,10,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-03706,2028-07-18T00:00:00Z,CLEAR,9705,26.0,0.0,0.0,1,1,1,105,4,WEEKDAY_CALM,0.25,LOW_RISK
JED-SHIFT-06225,2030-11-04T16:00:00Z,CLEAR,9224,24.8,21.0,4.8,0,0,0,104,3,WEEKDAY_CALM,0.24,LOW_RISK
JED-SHIFT-20857,2044-03-13T00:00:00Z,DUST_HAZE,3456,36.0,21.0,4.0,6,2,1,156,15,WEEKDAY_CALM,0.66,MODERATE_RISK
JED-SHIFT-35490,2057-07-20T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,219,19,WEEKEND_RUSH,0.86,HIGH_RISK
JED-SHIFT-04274,2029-01-23T08:00:00Z,CLEAR,9273,23.6,19.5,3.6,1,1,1,73,4,WEEKDAY_CALM,0.33,LOW_RISK
JED-SHIFT-16294,2040-01-13T00:00:00Z,CLEAR,9293,23.6,4.5,3.6,1,1,1,93,8,WEEKEND_RUSH,0.33,LOW_RISK
JED-SHIFT-39521,2061-03-25T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,200,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-06893,2031-06-15T08:00:00Z,CLEAR,9892,22.4,10.5,2.4,0,0,0,112,7,WEEKDAY_CALM,0.32,LOW_RISK
JED-SHIFT-28786,2051-06-08T00:00:00Z,DUST_HAZE,5385,35.0,15.0,5.0,5,2,1,165,20,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-12620,2036-09-05T08:00:00Z,CLEAR,9619,30.8,6.0,4.8,3,1,1,79,6,WEEKEND_RUSH,0.39,LOW_RISK
JED-SHIFT-18637,2042-03-04T00:00:00Z,CLEAR,9636,27.2,9.0,1.2,0,0,0,96,7,WEEKDAY_CALM,0.36,LOW_RISK
JED-SHIFT-09802,2034-02-09T00:00:00Z,CLEAR,9801,21.2,9.0,1.2,1,1,1,81,4,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-09837,2034-02-20T16:00:00Z,CLEAR,9836,27.2,16.5,1.2,0,0,0,116,7,WEEKDAY_CALM,0.36,LOW_RISK
JED-SHIFT-17163,2040-10-28T16:00:00Z,CLEAR,9162,22.4,3.0,2.4,2,0,0,62,5,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-15396,2039-03-19T16:00:00Z,CLEAR,9395,26.0,7.5,0.0,3,1,1,95,6,WEEKEND_RUSH,0.35,LOW_RISK
JED-SHIFT-00735,2025-10-31T16:00:00Z,CLEAR,9734,24.8,21.0,4.8,2,0,0,74,9,WEEKEND_RUSH,0.34,LOW_RISK
JED-SHIFT-36024,2058-01-14T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,203,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-20963,2044-04-17T08:00:00Z,CLEAR,3562,32.0,22.0,6.0,7,3,2,102,16,WEEKDAY_CALM,0.62,MODERATE_RISK
JED-SHIFT-32045,2054-05-29T08:00:00Z,CLEAR,5644,34.0,19.0,4.0,9,3,2,144,25,WEEKEND_RUSH,0.64,MODERATE_RISK
JED-SHIFT-34195,2056-05-15T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,224,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-32371,2054-09-15T00:00:00Z,DUST_HAZE,5970,30.0,15.0,6.0,5,2,1,150,14,WEEKDAY_CALM,0.6,MODERATE_RISK
JED-SHIFT-33014,2055-04-17T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,193,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-19823,2043-04-03T08:00:00Z,CLEAR,9822,22.4,10.5,2.4,2,0,0,82,9,WEEKEND_RUSH,0.22,LOW_RISK
JED-SHIFT-18530,2042-01-27T08:00:00Z,CLEAR,9529,30.8,6.0,4.8,1,1,1,109,4,WEEKDAY_CALM,0.29,LOW_RISK
JED-SHIFT-08154,2032-08-08T16:00:00Z,CLEAR,9153,23.6,12.0,3.6,1,1,1,113,4,WEEKDAY_CALM,0.33,LOW_RISK
JED-SHIFT-04742,2029-06-28T08:00:00Z,CLEAR,9741,21.2,1.5,1.2,1,1,1,61,8,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-34383,2056-07-16T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,212,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-38991,2060-09-29T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,220,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-11855,2035-12-25T08:00:00Z,CLEAR,9854,24.8,6.0,4.8,2,0,0,94,9,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-08477,2032-11-24T08:00:00Z,CLEAR,9476,27.2,1.5,1.2,0,0,0,76,7,WEEKDAY_CALM,0.36,LOW_RISK
JED-SHIFT-30442,2052-12-11T00:00:00Z,DUST_HAZE,4041,31.0,21.0,5.0,6,2,1,141,17,WEEKDAY_CALM,0.61,MODERATE_RISK
